Year,Category,Winner,Key,Subkey
89,"ACTRESS IN A LEADING ROLE",False,"Loving","Ruth Negga –"
89,"ACTRESS IN A LEADING ROLE",False,"Jackie","Natalie Portman –"
89,"ACTRESS IN A LEADING ROLE",True,"La La Land","Emma Stone –"
89,"ACTRESS IN A LEADING ROLE",False,"Florence Foster Jenkins","Meryl Streep –"
89,"ACTOR IN A SUPPORTING ROLE",True,"Moonlight","Mahershala Ali –"
89,"ACTOR IN A SUPPORTING ROLE",False,"Hell or High Water","Jeff Bridges –"
89,"ACTOR IN A SUPPORTING ROLE",False,"Manchester by the Sea","Lucas Hedges –"
89,"ACTOR IN A SUPPORTING ROLE",False,"Lion","Dev Patel –"
89,"ACTOR IN A SUPPORTING ROLE",False,"Nocturnal Animals","Michael Shannon –"
89,"ACTRESS IN A SUPPORTING ROLE",True,"Fences","Viola Davis –"
89,"ACTRESS IN A SUPPORTING ROLE",False,"Moonlight","Naomie Harris –"
89,"ACTRESS IN A SUPPORTING ROLE",False,"Lion","Nicole Kidman –"
89,"ACTRESS IN A SUPPORTING ROLE",False,"Hidden Figures","Octavia Spencer –"
89,"ACTRESS IN A SUPPORTING ROLE",False,"Manchester by the Sea","Michelle Williams –"
89,"WRITING (Adapted Screenplay)",False,"Arrival","– Eric Heisserer"
89,"WRITING (Adapted Screenplay)",False,"Fences","– August Wilson"
89,"WRITING (Adapted Screenplay)",False,"Hidden Figures","– Allison Schroeder, Theodore Melfi"
89,"WRITING (Adapted Screenplay)",False,"Lion","– Luke Davies"
89,"WRITING (Adapted Screenplay)",True,"Moonlight","– Barry Jenkins, Tarell Alvin McCraney"
89,"WRITING (Original Screenplay)",False,"Hell or High Water","– Taylor Sheridan"
89,"WRITING (Original Screenplay)",False,"La La Land","– Damien Chazelle"
89,"WRITING (Original Screenplay)",False,"The Lobster","– Yorgos Lanthimos, Efthimis Filippou"
89,"WRITING (Original Screenplay)",True,"Manchester by the Sea","– Kenneth Lonergan"
89,"WRITING (Original Screenplay)",False,"20th Century Women","– Mike Mills"
