Column1,Column2,Column3,Column4,Column5,Column6,,,,
2,Best Writing,0,TRUE,https://en.wikipedia.org/wiki/The_Last_of_Mrs._Cheyney_(1929_film),The Last of Mrs. Cheyney,,,,
2,Best Writing,1,FALSE,,"Hanns Kräly, based on",,,,
2,Best Writing,2,FALSE,,"Hanns Kräly, based on",,,,
2,Best Writing,3,FALSE,https://en.wikipedia.org/wiki/The_Last_of_Mrs._Cheyney_(play),the play,,,,
2,Best Writing,4,FALSE,,by,,,,
2,Best Writing,5,FALSE,https://en.wikipedia.org/wiki/Frederick_Lonsdale,Frederick Lonsdale,,,,
2,Best Writing,0,TRUE,https://en.wikipedia.org/wiki/The_Leatherneck,The Leatherneck,,,,
2,Best Writing,1,FALSE,,Elliot Clawson,,,,
2,Best Writing,2,FALSE,,Elliot Clawson,,,,
2,Best Writing,0,TRUE,https://en.wikipedia.org/wiki/Our_Dancing_Daughters,Our Dancing Daughters,,,,
2,Best Writing,1,FALSE,https://en.wikipedia.org/wiki/Josephine_Lovett,Josephine Lovett,,,,
2,Best Writing,0,TRUE,https://en.wikipedia.org/wiki/Sal_of_Singapore,Sal of Singapore,,,,
2,Best Writing,1,FALSE,,"Elliot Clawson, based on the story The Sentimentalists"" by""",,,,
2,Best Writing,2,FALSE,,"Elliot Clawson, based on the story The Sentimentalists"" by""",,,,
2,Best Writing,3,FALSE,https://en.wikipedia.org/wiki/Dale_Collins,Dale Collins,,,,
2,Best Writing,0,TRUE,https://en.wikipedia.org/wiki/Skyscraper_(1928_film),Skyscraper,,,,
2,Best Writing,1,FALSE,,"Elliot Clawson, based on a story by Dudley Murphy",,,,
2,Best Writing,2,FALSE,,"Elliot Clawson, based on a story by Dudley Murphy",,,,
2,Best Writing,0,TRUE,https://en.wikipedia.org/wiki/The_Valiant_(1929_film),The Valiant,,,,
2,Best Writing,1,FALSE,,"Tom Barry, based on",,,,
2,Best Writing,2,FALSE,,"Tom Barry, based on",,,,
2,Best Writing,3,FALSE,https://en.wikipedia.org/wiki/The_Valiant_(play),the play,,,,
2,Best Writing,4,FALSE,,by,,,,
2,Best Writing,5,FALSE,https://en.wikipedia.org/wiki/Harold_Everett_Porter,Halworthy Hall,,,,
2,Best Writing,6,FALSE,,and,,,,
2,Best Writing,7,FALSE,https://en.wikipedia.org/wiki/Robert_Middlemass,Robert Middlemass,,,,
2,Best Writing,0,TRUE,https://en.wikipedia.org/wiki/A_Woman_of_Affairs,A Woman of Affairs,,,,
2,Best Writing,1,FALSE,https://en.wikipedia.org/wiki/Bess_Meredyth,Bess Meredyth,,,,
2,Best Writing,2,FALSE,,based on the novel,,,,
2,Best Writing,3,FALSE,,The Green Hat,,,,
2,Best Writing,4,FALSE,,by,,,,
2,Best Writing,5,FALSE,https://en.wikipedia.org/wiki/Michael_Arlen,Michael Arlen,,,,
2,Best Writing,0,TRUE,https://en.wikipedia.org/wiki/Wonder_of_Women,Wonder of Women,,,,
2,Best Writing,1,FALSE,,"Bess Meredyth, based on the novel",,,,
2,Best Writing,2,FALSE,,"Bess Meredyth, based on the novel",,,,
