Year,Type,WinOrLose,Key,Item
1931,"SOUND RECORDING",False,"THE CASE OF SERGEANT GRISCHA","(RKO Radio Studio Sound Department, John Tribby, Sound Director)"
1931,"SOUND RECORDING",False,"THE LOVE PARADE","(Paramount Famous Lasky Studio Sound Department, Franklin Hansen, Sound Director)"
1931,"SOUND RECORDING",False,"RAFFLES","(United Artists Studio Sound Department, Oscar Lagerstrom, Sound Director)"
1931,"SOUND RECORDING",False,"SONG OF THE FLAME","(First National Studio Sound Department, George Groves, Sound Director)"
1931,"WRITING",True,"THE BIG HOUSE","Frances Marion"
1931,"WRITING",False,"ALL QUIET ON THE WESTERN FRONT","(George Abbott), (Maxwell Anderson), (Del Andrews)"
1931,"WRITING",False,"DISRAELI","(Julian Josephson)"
1931,"WRITING",False,"THE DIVORCEE","(John Meehan)"
1931,"WRITING",False,"STREET OF CHANCE","(Howard Estabrook)"
1932,"ACTOR",True,"LIONEL BARRYMORE","A Free Soul"
1932,"ACTOR",False,"JACKIE COOPER","Skippy"
1932,"ACTOR",False,"RICHARD DIX","Cimarron"
1932,"ACTOR",False,"FREDRIC MARCH","The Royal Family of Broadway"
1932,"ACTOR",False,"ADOLPHE MENJOU","The Front Page"
1932,"ACTRESS",True,"MARIE DRESSLER","Min and Bill"
1932,"ACTRESS",False,"MARLENE DIETRICH","Morocco"
1932,"ACTRESS",False,"IRENE DUNNE","Cimarron"
1932,"ACTRESS",False,"ANN HARDING","Holiday"
1932,"ACTRESS",False,"NORMA SHEARER","A Free Soul"
1932,"ART DIRECTION",True,"CIMARRON","Cimarron"
1932,"ART DIRECTION",False,"JUST IMAGINE","Stephen Goosson, Ralph Hammeras"
1932,"ART DIRECTION",False,"MOROCCO","Hans Dreier"
1932,"ART DIRECTION",False,"SVENGALI","Anton Grot"
1932,"ART DIRECTION",False,"WHOOPEE!","Richard Day"
1932,"CINEMATOGRAPHY",True,"TABU","Floyd Crosby"
1932,"CINEMATOGRAPHY",False,"CIMARRON","Edward Cronjager"
1932,"CINEMATOGRAPHY",False,"MOROCCO","Lee Garmes"
1932,"CINEMATOGRAPHY",False,"THE RIGHT TO LOVE","Charles Lang"
1932,"CINEMATOGRAPHY",False,"SVENGALI","Barney |Chick| McGill"
1932,"DIRECTING",True,"SKIPPY","Norman Taurog"
1932,"DIRECTING",False,"CIMARRON","Wesley Ruggles"
