Year,Type,Content,Title,Description,Youtube,Url
1936,"CINEMATOGRAPHY","A Midsummer Night&#039;s Dream","Hal Mohr","","https://www.oscars.org/sites/oscars/files/8_highlight_cinematography_hal_mohr.jpg"
1936,"D.W. Griffith","D.W. Griffith","Special Award recipient, second from left, with, from left: Frank Capra, Jean Hersholt, Henry B. Walthall, Frank Lloyd, Cecil B. DeMille and Donald Crisp","","https://www.oscars.org/sites/oscars/files/8_LARGE_MEM_griffith.jpg"
1936,"Victor McLaglen","Victor McLaglen","Best Actor winner for The Informer, with Louis B. Mayer and Clark Gable","","https://www.oscars.org/sites/oscars/files/8_mclaglen.jpg"
1936,"Stan Laurel","Stan Laurel","Attending the Academy Awards banquet","","https://www.oscars.org/sites/oscars/files/8_stan_laurel.jpg"
1936,,,,,,https://www.oscars.org/sites/oscars/files/styles/hero_image_wide_default/public/1935_iconic_griffith_2.jpg?itok=zavt9F4g
1937,"SUPPORTING ACTOR & ACTRESS","Come and Get It / Anthony Adverse","Walter Brennan and Gale Sondergaard, with host George Jessel","","https://www.oscars.org/sites/oscars/files/9_highlight_supporting_walter_brennan_supporting_gale_sondergaard_host_george_jessel.jpg"
1937,"BEST ACTOR","The Story of Louis Pasteur","Paul Muni","","https://www.oscars.org/sites/oscars/files/9_memorable_moments_actor_paul_muni.jpg"
1937,"SHORT SUBJECT & MUSIC","The Country Cousin / &quot;The Way You Look Tonight&quot; from Swing Time","Walt Disney (winner, Short Subject Cartoon) and Dorothy Fields (winner, Original Song)","","https://www.oscars.org/sites/oscars/files/9_highlight_short_walt_disney_music_dorothy_fields.jpg"
1937,"Attendees at the 9th Academy Awards","Attendees at the 9th Academy Awards","","","https://www.oscars.org/sites/oscars/files/9_LARGE_Memorable_Moments.jpg"
1937,"Sheridan Gibney","Sheridan Gibney","Original Screenplay winner for The Story of Louis Pasteur","","https://www.oscars.org/sites/oscars/files/9_highlight_writing_sheridan_gibney.jpg"
1937,"Paul Muni, Luise Rainer and Frank Capra","Paul Muni, Luise Rainer and Frank Capra","Best Actor winner for The Story of Louis Pasteur, Best Actress winner for The Great Ziegfeld, and Best Directing winner for Mr. Deeds Goes to Town","","https://www.oscars.org/sites/oscars/files/highlights.jpg"
1937,,,,,,https://www.oscars.org/sites/oscars/files/styles/hero_image_wide_default/public/1936_iconic_ceremony_2.jpg?itok=X5poBQ6d
1938,"BEST ACTRESS","The Good Earth","Luise Rainer","","https://www.oscars.org/sites/oscars/files/10_memorable_actress_luise_rainer.jpg"
1938,"BEST ACTOR","Captains Courageous","Spencer Tracy","","https://www.oscars.org/sites/oscars/files/10_memorable_actor_spencer_tracy.jpg"
1938,"BEST PICTURE","The Life of Emile Zola","accepted by Jack Warner, with Frank Capra","","https://www.oscars.org/sites/oscars/files/10_memorable_moment_best_picture_jack_l_warner_frank_capra.jpg"
1938,"W.C. Fields, Mack Sennett, and Frank Capra","W.C. Fields, Mack Sennett, and Frank Capra","At the Oscar ceremony at the Biltmore Hotel","","https://www.oscars.org/sites/oscars/files/10_highlight_wc_fields_special_award_mack_sennett_frank_capra.jpg"
1938,"Edgar Bergen and Charlie McCarthy","Edgar Bergen and Charlie McCarthy","","","https://www.oscars.org/sites/oscars/files/10_highlight_charlie_mccarthy_edgar_bergen.jpg"
1938,"Leo McCarey","Leo McCarey","Best Directing winner for The Awful Truth","","https://www.oscars.org/sites/oscars/files/10_memorable_director_leo_mccarey.jpg"
1938,,,,,,https://www.oscars.org/sites/oscars/files/styles/hero_image_wide_default/public/1937_actress_rainer_2.jpg?itok=kkIQf5kS
1939,"SPECIAL AWARD","","Mickey Rooney, Juvenile Player","","https://www.oscars.org/sites/oscars/files/1939_viewimage_special-Rooney.jpg"
1939,"SPECIAL AWARD","","Deanna Durbin, Juvenile Player, with presenter Edgar Bergen","","https://www.oscars.org/sites/oscars/files/1939_viewimage_special-Durbin.jpg"
1939,"THALBERG AWARD","","Hal B. Wallis","","https://www.oscars.org/sites/oscars/files/1939_viewimage_thalberg-wallis.jpg"
1939,"Walt Disney","Walt Disney","Receiving one statuette and seven miniature statuettes from Shirley Temple for Snow White and the Seven Dwarfs","","https://www.oscars.org/sites/oscars/files/1939_disneytemple.jpg"
1939,"Miliza Korjus","Miliza Korjus","Singing &quot;The Star-Spangled Banner&quot; at the Oscars","","https://www.oscars.org/sites/oscars/files/11_highlight_miliza_korjus_sings_star_spangled_banner.jpg"
1939,"Bette Davis","Bette Davis","Best Actress winner for Jezebel","","https://www.oscars.org/sites/oscars/files/11_memorable_actress_bette_davis.jpg"
1939,,,,,,https://www.oscars.org/sites/oscars/files/styles/hero_image_wide_default/public/1939_iconic_disney_temple_2.jpg?itok=bz_cK34Q
1940,"SPECIAL AWARD","","Judy Garland, with presenter Mickey Rooney","","https://www.oscars.org/sites/oscars/files/1940_view_specialaward-garland.jpg"
1940,"CINEMATOGRAPHY","Gone with the Wind","Ernest Haller","","https://www.oscars.org/sites/oscars/files/1940_viewimage_cinematography-Haller.jpg"
1940,"IRVING G. THALBERG AWARD","","David O. Selznick, with presenter Ernest Martin Hopkins","","https://www.oscars.org/sites/oscars/files/1940_viewimage_Thalberg-Selznick.jpg"
1940,"Hattie McDaniel","Hattie McDaniel","Supporting Actress winner for Gone with the Wind, posing with an Oscar statuette with presenter Fay Bainter","","https://www.oscars.org/sites/oscars/files/1940_Hattie_McDaniel_Bainter.jpg"
1940,"Charles Laughton and Elsa Lanchester","Charles Laughton and Elsa Lanchester","Arriving at the Oscars","","https://www.oscars.org/sites/oscars/files/12_highlight_charles_laughton_elsa_lanchester.jpg"
1940,"Victor Fleming","Victor Fleming","Best Directing winner for Gone with the Wind","","https://www.oscars.org/sites/oscars/files/12_Memorable_Moment_director_victor_fleming.jpg"
1940,,,,,,https://www.oscars.org/sites/oscars/files/styles/hero_image_wide_default/public/1940_hattie_mcdaniel_bainter_2.jpg?itok=dAbEXmYW
1941,"WRITING (SCREENPLAY)","The Philadelphia Story","Donald Ogden Stewart","","https://www.oscars.org/sites/oscars/files/1941_03_screenplay-stewart.jpg"
1941,"SUPPORTING ACTOR","The Westerner","Walter Brennan","","https://www.oscars.org/sites/oscars/files/1941_view_brennan.jpg"
1941,"SOUND RECORDING","Strike Up the Band","Douglas Shearer","","https://www.oscars.org/sites/oscars/files/1941_sound-rec_Shearer.jpg"
1941,"The Biltmore Hotel","The Biltmore Hotel","Academy Awards stage","","https://www.oscars.org/sites/oscars/files/1941_iconic_stage.jpg"
1941,"Ginger Rogers and James Stewart","Ginger Rogers and James Stewart","Best Actress winner for Kitty Foyle and Best Actor winner for The Philadelphia Story","","https://www.oscars.org/sites/oscars/files/1941_02_actors_rogersstewart.jpg"
1941,"Joan Fontaine and Alfred Hitchcock","Joan Fontaine and Alfred Hitchcock","Best Actress and Directing nominees for Rebecca, winner of Best Picture","","https://www.oscars.org/sites/oscars/files/1941_view_rebecca-fontainehitchcock.jpg"
1941,,,,,,https://www.oscars.org/sites/oscars/files/styles/hero_image_wide_default/public/1941_iconic_stage_2.jpg?itok=FjADyAhX
1942,"THALBERG AWARD","","Walt Disney","","https://www.oscars.org/sites/oscars/files/1942_03_thalberg-disney.jpg"
1942,"SUPPORTING ACTRESS","The Great Lie","Mary Astor, with presenter Ginger Rogers","","https://www.oscars.org/sites/oscars/files/14_memorable_moment_supporting_actress_mary_astor_presenter_ginger_rogers.jpg"
1942,"BEST ACTRESS","Suspicion","Joan Fontaine, with Burgess Meredith and sister Olivia de Havilland","","https://www.oscars.org/sites/oscars/files/14_fontaine_dehavilland_meredith.jpg"
