Year,WinOrLose,Type,Key,Item
1934,Nominees,"Outstanding Production","The Private Life Of Henry Viii","London Films"
1934,Nominees,"Outstanding Production","She Done Him Wrong","Paramount"
1934,Nominees,"Outstanding Production","Smilin' Through","Metro-Goldwyn-Mayer"
1934,Nominees,"Outstanding Production","State Fair","Fox"
1934,Winner,"Short Subject (Cartoon)","The Three Little Pigs","Walt Disney, Producer"
1934,Nominees,"Short Subject (Cartoon)","Building A Building","Walt Disney, Producer"
1934,Nominees,"Short Subject (Cartoon)","The Merry Old Soul","Walter Lantz, Producer"
1934,Winner,"Short Subject (Comedy)","So This Is Harris","Louis Brock, Producer"
1934,Nominees,"Short Subject (Comedy)","Mister Mugg","Warren Doane, Producer"
1934,Nominees,"Short Subject (Comedy)","A Preferred List","Louis Brock, Producer"
1934,Winner,"Short Subject (Novelty)","Krakatoa","Joe Rock, Producer"
1934,Nominees,"Short Subject (Novelty)","Menu","Pete Smith, Producer"
1934,Nominees,"Short Subject (Novelty)","The Sea","Educational"
1934,Winner,"Sound Recording","A Farewell To Arms","Paramount Studio Sound Department, Franklin B. Hansen, Sound Director"
1934,Nominees,"Sound Recording","42Nd Street","Warner Bros. Studio Sound Department, Nathan Levinson, Sound Director"
1934,Nominees,"Sound Recording","Gold Diggers Of 1933","Warner Bros. Studio Sound Department, Nathan Levinson, Sound Director"
1934,Nominees,"Sound Recording","I Am A Fugitive From A Chain Gang","Warner Bros. Studio Sound Department, Nathan Levinson, Sound Director"
1934,Winner,"Writing (Adaptation)","Little Women","Victor Heerman, Sarah Y. Mason"
1934,Nominees,"Writing (Adaptation)","Lady For A Day","Robert Riskin"
1934,Nominees,"Writing (Adaptation)","State Fair","Paul Green, Sonya Levien"
1934,Winner,"Writing (Original Story)","One Way Passage","Robert Lord"
1934,Nominees,"Writing (Original Story)","The Prizefighter And The Lady","Frances Marion"
1934,Nominees,"Writing (Original Story)","Rasputin And The Empress","Charles MacArthur"
1935,Winner,"Actor","Clark Gable","It Happened One Night"
1935,Nominees,"Actor","Frank Morgan","The Affairs of Cellini"
1935,Nominees,"Actor","William Powell","The Thin Man"
1935,Winner,"Actress","Claudette Colbert","It Happened One Night"
1935,Nominees,"Actress","Bette Davis","Of Human Bondage"
1935,Nominees,"Actress","Grace Moore","One Night of Love"
1935,Nominees,"Actress","Norma Shearer","The Barretts of Wimpole Street"
1935,Winner,"Art Direction","The Merry Widow","Cedric Gibbons, Frederic Hope"
1935,Nominees,"Art Direction","The Affairs Of Cellini","Richard Day"
1935,Nominees,"Art Direction","The Gay Divorcee","Van Nest Polglase, Carroll Clark"
1935,Winner,"Assistant Director","Viva Villa!","John Waters"
1935,Nominees,"Assistant Director","Cleopatra","Cullen Tate"
1935,Nominees,"Assistant Director","Imitation Of Life","Scott Beal"
1935,Winner,"Cinematography","Cleopatra","Victor Milner"
1935,Nominees,"Cinematography","The Affairs Of Cellini","Charles Rosher"
1935,Nominees,"Cinematography","Operator 13","George Folsey"
1935,Winner,"Directing","It Happened One Night","Frank Capra"
1935,Nominees,"Directing","One Night Of Love","Victor Schertzinger"
1935,Nominees,"Directing","The Thin Man","W. S. Van Dyke"
1935,Winner,"Film Editing","Eskimo","Conrad Nervig"
1935,Nominees,"Film Editing","Cleopatra","Anne Bauchens"
1935,Nominees,"Film Editing","One Night Of Love","Gene Milford"
1935,Winner,"Music (Scoring)","One Night Of Love","Columbia Studio Music Department, Louis Silvers, head of department (Thematic Music by Victor Schertzinger and Gus Kahn)"
1935,Nominees,"Music (Scoring)","The Gay Divorcee","RKO Radio Studio Music Department, Max Steiner, head of department (Score by Kenneth Webb and Samuel Hoffenstein)"
1935,Nominees,"Music (Scoring)","The Lost Patrol","RKO Radio Studio Music Department, Max Steiner, head of department (Score by Max Steiner)"
1935,Winner,"Music (Song)","The Gay Divorcee","The Continental in "The Gay Divorcee" Music by Con Conrad; Lyrics by Herb Magidson"
1935,Nominees,"Music (Song)","Flying Down To Rio","Carioca in "Flying Down to Rio" Music by Vincent Youmans; Lyrics by Edward Eliscu and Gus Kahn"
1935,Nominees,"Music (Song)","She Loves Me Not","Love In Bloom in "She Loves Me Not" Music by Ralph Rainger; Lyrics by Leo Robin"
1935,Winner,"Outstanding Production","It Happened One Night","Columbia"
1935,Nominees,"Outstanding Production","The Barretts Of Wimpole Street","Metro-Goldwyn-Mayer"
1935,Nominees,"Outstanding Production","Cleopatra","Paramount"
1935,Nominees,"Outstanding Production","Flirtation Walk","First National"
1935,Nominees,"Outstanding Production","The Gay Divorcee","RKO Radio"
1935,Nominees,"Outstanding Production","Here Comes The Navy","Warner Bros."
1935,Nominees,"Outstanding Production","The House Of Rothschild","20th Century"
1935,Nominees,"Outstanding Production","Imitation Of Life","Universal"
1935,Nominees,"Outstanding Production","One Night Of Love","Columbia"
1935,Nominees,"Outstanding Production","The Thin Man","Metro-Goldwyn-Mayer"
1935,Nominees,"Outstanding Production","Viva Villa!","Metro-Goldwyn-Mayer"
1935,Nominees,"Outstanding Production","The White Parade","Jesse L. Lasky (production company)"
1935,Winner,"Short Subject (Cartoon)","The Tortoise And The Hare","Walt Disney, Producer"
1935,Nominees,"Short Subject (Cartoon)","Holiday Land","Charles Mintz, Producer"
1935,Nominees,"Short Subject (Cartoon)","Jolly Little Elves","Walter Lantz, Producer"
1935,Winner,"Short Subject (Comedy)","La Cucaracha","Kenneth Macgowan, Producer"
1935,Nominees,"Short Subject (Comedy)","Men In Black","Jules White, Producer"
